State,Suburb,Postcode
Australian Capital Territory,Belconnen,2617
Australian Capital Territory,Fyshwick,2609
New South Wales,Alexandria,2015
New South Wales,Armidale,2350
New South Wales,Artarmon,2064
New South Wales,Ashfield,2131
New South Wales,Ballina,2478
New South Wales,Bathurst,2795
New South Wales,Campbelltown,2560
New South Wales,Castle Hill,2154
New South Wales,Chatswood,2067
New South Wales,Dubbo,2830
New South Wales,Dural,2158
New South Wales,Lidcombe,2141
New South Wales,Lismore,2480
New South Wales,Lithgow,2790
New South Wales,Mascot,2020
New South Wales,Narrabeen,2101
New South Wales,Nowra,2541
New South Wales,Orange,2800
New South Wales,Penrith,2750
New South Wales,Randwick,2031
New South Wales,Rydalmere,2116
New South Wales,Thornleigh,2120
New South Wales,Tweed Heads,2485
New South Wales,Ulladulla,2539
New South Wales,Wagga Wagga,2650
Northern Territory,Alice Springs,870
Northern Territory,Darwin,800
Queensland,Airlie Beach,4802
Queensland,Atherton,4883
Queensland,Burleigh Waters,4220
Queensland,Cairns,4870
Queensland,Caloundra,4551
Queensland,Gladstone,4680
Queensland,Gympie,4570
Queensland,Hervey Bay,4655
Queensland,Indooroopilly,4068
Queensland,Ipswich,4305
Queensland,Mackay,4740
Queensland,Maroochydore,4558
Queensland,Mt Isa,4825
Queensland,Noosaville,4566
Queensland,North Lakes,4509
Queensland,Rockhampton,4700
Queensland,Southport,4215
Queensland,Stafford,4053
Queensland,Toombul,4012
Queensland,Underwood,4119
Queensland,Yeppoon,4703
South Australia,Berri,5343
South Australia,Marion,5043
South Australia,Mt Gambier,5290
South Australia,Noarlunga,5168
South Australia,Port Lincoln,5607
South Australia,Prospect,5082
South Australia,Seaford,5169
South Australia,Woodville,5011
Tasmania,Burnie,7320
Tasmania,Glenorchy,7010
Tasmania,Launceston,7250
Tasmania,Rosny Park,7018
Victoria,Altona,3018
Victoria,Ballarat,3353
Victoria,Bendigo,3550
Victoria,Chadstone,3148
Victoria,Collingwood,3066
Victoria,Cranbourne,3977
Victoria,Croydon,3136
Victoria,Dandenong,3175
Victoria,Epping,3076
Victoria,Epsom,3551
Victoria,Frankston,3199
Victoria,Hastings,3915
Victoria,Horsham,3400
Victoria,Mildura,3500
Victoria,Mornington,3931
Victoria,Nunawading,3131
Victoria,Ringwood,3134
Victoria,Scoresby,3179
Victoria,Shepparton,3630
Victoria,Sunbury,3429
Victoria,Warrnambool,3280
Victoria,Werribee,3030
Victoria,Wodonga,3690
Western Australia,Albany,6330
Western Australia,Balcatta,6021
Western Australia,Broome,6725
Western Australia,Bussleton,6280
Western Australia,Claremont,6010
Western Australia,Esperance,6450
Western Australia,Geraldton,6530
Western Australia,Harrisdale,6112
Western Australia,Inglewood,6052
Western Australia,Joondalup,6027
Western Australia,Maddington,6109
Western Australia,Mindarie,6030
Western Australia,Canarvon,6701
